"Id";"Designator";"Footprint";"Quantity";"Designation";"Link";Price
1;"BT1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";4;"Battery_Cell";https://shorturl.at/hIcLj;$18
2;"C1, C2, C5";"C_0805_2012Metric";6;"10µF";https://shorturl.at/dkd7K;$2.3
3;"C3, C4, C6";"C_0805_2012Metric";6;"100nf";https://shorturl.at/dkd7K;$2.3
4;"C7";"C_0805_2012Metric";2;"1µF";https://shorturl.at/dkd7K;$2.3
5;"D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";2;"WS2812B";https://shorturl.at/Q40h6;$11
6;"J1";"FanPinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";https://shorturl.at/0AHKv;$7
7;"LS1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";2;"Speaker";https://shorturl.at/RXhoH;$5
8;"M1";"INMP441_OMNIDIRECTIONAL_MICROPHONE_MODULE";2;"INMP441 Microphone";https://h1.nu/1ydcw;$8
9;"R1";"R_0805_2012Metric";2;"100kΩ";https://h1.nu/1ydd0;$1
10;"R2";"R_0805_2012Metric";2;"10kΩ";https://h1.nu/1ydd0;$1
11;"RV1";"Potentiometer_Bourns_PTV09A-1_Single_Vertical";2;"R_Potentiometer_MountingPin";https://h1.nu/1yddz;$2.9
12;"SW1, SW3-boot, SW4-reset";"SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG";6;"SW_Push";https://h1.nu/1ydel;$9
13;"SW2";"SW_Slide_SPDT_Straight_CK_OS102011MS2Q";2;"SW_SPDT";https://h1.nu/1DZo9;$4.5
14;"TP1";"TP4056-18650";2;"TP4056_cm";https://h1.nu/1DZoD;$3.5
15;"U1";"XCVR_ESP32-S3-WROOM-1U-N16R8";2;"ESP32-S3-WROOM-1U-N16R8";https://h1.nu/1ydgw;$9.86
16;"U2";"ER_OLEDM0.91_1x-I2C";2;"ER_OLEDM0.91_1x-I2C";https://h1.nu/1ydh5;$6.88
17;"U3";"SOT-223-3_TabPin2";2;"AMS1117-3.3";https://h1.nu/1DZr0;$6
18;"U4";"TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm";2;"MAX98357A";https://h1.nu/1ydjG;$2.65
19;;;2;"USB Type C Connector
Board 3.1 Serial Basic Breakout Female";https://h1.nu/1DZtC;$4.99
20;;;2;JST_PH;https://h1.nu/1DZvK;$.24
;TOTAL;;;;;$108.42
