Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery_Cell,
"C1, C2, C5",0805,3,10µF,
"C3, C4, C6",0805,3,100nf,
C7,0805,1,1µF,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
J1,FanPinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
LS1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Speaker,
M1,INMP441_OMNIDIRECTIONAL_MICROPHONE_MODULE,1,INMP441 Microphone,
R1,0805,1,100kΩ,
R2,0805,1,10kΩ,
RV1,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,R_Potentiometer_MountingPin,
"SW1, SW3-BOOT, SW4-RESET",SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,3,SW_Push,
SW2,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,
TP1,TP4056-18650,1,TP4056_cm,
U1,XCVR_ESP32-S3-WROOM-1U-N16R8,1,ESP32-S3-WROOM-1U-N16R8,
U2,ER_OLEDM0.91_1x-I2C,1,ER_OLEDM0.91_1x-I2C,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
