Designator,Mid X,Mid Y,Rotation,Layer
BT1,181.28,-60.91,270.0,bottom
C1,149.53,-58.36,0.0,top
C2,149.91,-67.83,0.0,top
C3,143.57,-74.54,0.0,top
C4,143.57,-70.66,0.0,top
C5,149.62,-63.57,0.0,top
C6,143.42,-66.69,0.0,top
C7,143.31,-62.35,0.0,top
D1,121.81,-63.42,0.0,top
H1,100.89,-56.62,0.0,top
H2,101.71,-103.33,0.0,top
H3,194.23,-67.51,0.0,top
H4,161.53,-78.95,0.0,top
J1,140.72,-96.0025,0.0,bottom
LS1,188.66,-62.53,0.0,bottom
M1,157.07,-93.93,0.0,bottom
R1,127.1775,-99.98,0.0,top
R2,142.9925,-58.45,0.0,top
RV1,158.37,-63.99,0.0,top
SW1,175.99,-96.64,0.0,top
SW2,189.77,-97.22,0.0,top
SW3-BOOT,169.55,-96.56,270.0,bottom
SW4-RESET,177.1,-96.56,270.0,bottom
TP1,183.27,-80.07,0.0,bottom
U1,127.56,-83.12,0.0,top
U2,105.4,-98.12,180.0,top
U3,134.28,-63.67,180.0,top
U4,121.0825,-100.15,0.0,top
